# VERSION NUMBER: 1.0.0
# START TIME: Mon Oct 19 10:25:36 2020
# 
# TIME PARAMETERS:	62.000000	17.000000	45.000000	90.472640	2920.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	
# SPACECRAFT PARAMETERS:	405.380000	264.000000	0.137169	12165487.394240	214.870018	52.646942	309.515341	62.631266	0.000000	0.000000	20.843948	272.360000	155.780000	0.000000	1.000000	11.000000	0.000000	0.000000	0.000000	11.000000	0.000000	0.000000	0.000000	11.450000	5900.000000	0.000000	0.000000	0.000000	5900.000000	0.000000	0.000000	0.000000	5900.000000	
# MODEL PARAMETERS:	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.000000	2.000000	2.200000	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	10.000000	0.100000	1.000000	1.000000	
#
# Rotation Matrix from TEME to ECI (J2000) at propagation start:
# 0.9999999992241535	0.0000380948156325	-0.0000100238961882	
# -0.0000380950260320	0.9999999990540852	-0.0000209904461296	
# 0.0000100230965515	0.0000209908279739	0.9999999997294612	
# 
# Time since Start (s)	Velocity Components in TEME [v_i v_j v_k] (m/s)	Position Components in TEME [r_i r_j r_k] (m)	Angular Velocity Components in Body Frame [w_x w_y w_z] (rad/s)	Orientation Quaternion [q_0 q_1 q_2 q_3]
0.000000	2.6304454259999980e+03	-2.7176651130000014e+03	4.8916217729999998e+03	-8.1866797158499993e+06	-7.4519154598499946e+06	1.8780902631399967e+06	0.0000000000000000e+00	0.0000000000000000e+00	3.6379552712500768e-01	-1.5136681668581292e-01	-6.7698695430565592e-01	-7.0546236535804718e-01	1.4525701900350441e-01
86400.000000	-6.2735000341645616e+02	3.2080605048811071e+03	-3.9375294417468149e+03	1.2075066027199142e+07	4.9619397790670507e+06	3.5200203380227489e+06	-1.4819328432973554e-08	-1.3040351548631077e-08	3.6324069113312668e-01	1.8379777970299091e-01	8.3556450871030963e-01	5.0755233083566387e-01	-1.0218101302705376e-01
172800.000000	7.3234031039521597e+02	-4.0304953847499269e+03	4.9311080819771405e+03	-9.4900903476137463e+06	-4.9167184028895143e+06	-1.5037231530961785e+06	-4.9780012700197440e-09	2.3349331026498555e-08	3.6264985165595170e-01	-2.0450155634316383e-01	-9.5618698089635146e-01	2.0314913106840166e-01	-5.1146862696529231e-02
259200.000000	7.3454553378114929e+02	3.5945563323630199e+03	-3.4309015164474413e+03	1.2134048218840098e+07	2.4043813064872269e+06	5.9893675679763677e+06	1.7288323456717091e-08	5.4508462673362160e-09	3.6209432807209091e-01	3.4440869018877475e-02	1.9106156573656113e-01	-9.5856823921016532e-01	2.0846159218676627e-01
345600.000000	-1.5081268845338141e+03	-4.7674669767840633e+03	4.2287197458896917e+03	-9.3006785250236746e+06	-1.6512344750765942e+06	-4.6695384784563212e+06	-4.3691805127695973e-08	-3.1382066546846830e-09	3.6151504942512885e-01	2.1173257672375059e-01	9.7602281533857171e-01	5.0284433323304512e-02	-4.5006286053993379e-03
432000.000000	2.0152449417486625e+03	3.6692699030361487e+03	-2.7116281517953025e+03	1.1243132384982118e+07	-2.9589357610667351e+05	8.0435366322533805e+06	1.4244945851683084e-08	-1.3464508839589780e-08	3.6095113060919420e-01	1.1521136013654447e-01	5.0765266882538396e-01	8.3500588657327068e-01	-1.7827024350109233e-01
518400.000000	-3.6124597757927668e+03	-4.6858694130712565e+03	2.8328139164917820e+03	-7.5259060435581096e+06	1.8228458645501547e+06	-7.1138923237782186e+06	4.5777276513471011e-08	2.9825269142450468e-08	3.6038894568749458e-01	4.2190446039292243e-02	1.7005287754229420e-01	9.6219895639619135e-01	-2.0850696250406503e-01
604800.000000	3.1559295307587950e+03	3.4456943117973556e+03	-1.8138648438781383e+03	9.4758663218597863e+06	-2.9149779867993924e+06	9.5535588703195769e+06	2.5381820392202616e-08	1.6031326310236724e-09	3.5981101362332046e-01	6.9391825638950688e-02	2.9762987240705863e-01	9.3056928742429956e-01	-2.0159869763488814e-01
691200.000000	-5.0884522251350754e+03	-3.8093473109104584e+03	1.0426403185894455e+03	-4.4363795502711339e+06	4.9033967619545283e+06	-8.4534993769455943e+06	3.1751056380276781e-08	-3.3971904620165301e-08	3.5926254611719577e-01	1.9112483921015966e-01	8.6529105018354524e-01	4.5345087726137767e-01	-9.5524846087472054e-02
777600.000000	4.0952580970044073e+03	2.9348019716509871e+03	-7.6597809125391564e+02	6.9491191783194561e+06	-5.2392698322120178e+06	1.0410141345043659e+07	-1.7480354157853145e-08	1.6559517648801475e-08	3.5867401617748229e-01	1.3607564384058846e-01	6.3299642242873944e-01	-7.4395105334514344e-01	1.6533535185324916e-01
864000.000000	-5.6879608043928265e+03	-2.4206877885135382e+03	-7.4299775743049429e+02	-5.8008910685997247e+05	7.1108583073830288e+06	-8.5579131143757161e+06	1.6544455348063876e-08	-3.5292020718861532e-08	3.5813284288793507e-01	-2.0874751510665693e-01	-9.4697923210266566e-01	-2.3913404543981567e-01	4.9696249502651522e-02
950400.000000	4.7600601130068271e+03	2.1476921543430544e+03	4.0147384662138722e+02	3.8282953092008224e+06	-7.0647263747157566e+06	1.0521932135133566e+07	2.5473992653102810e-08	-7.1935552804469875e-09	3.5754027929287874e-01	1.6314341600561438e-01	7.3406798716153721e-01	6.4413135029173008e-01	-1.4008290263262355e-01
1036800.000000	-5.4621579056368319e+03	-8.7700362187694907e+02	-2.2258468737912108e+03	3.4251464816721082e+06	8.2118533601222262e+06	-7.5445335593854636e+06	2.4286908224872231e-08	-1.0104439820703831e-08	3.5700106924996239e-01	-1.9198301984647967e-01	-8.6648558142343601e-01	-4.5030485649616631e-01	9.7830432340264992e-02
1123200.000000	5.0583005862870668e+03	1.1033209788794654e+03	1.6443640623471988e+03	3.3844524034902378e+05	-8.1998270946533140e+06	9.8204224530061390e+06	-2.0264149522781959e-08	-1.6284940494126494e-08	3.5640989781351867e-01	1.9154785750022296e-01	8.6851809163837490e-01	-4.4616105817186502e-01	9.9629578714715589e-02
1209600.000000	-4.6252978381214789e+03	5.5097616794779242e+02	-3.2777781944435142e+03	7.0623436967589613e+06	8.2069148394335276e+06	-5.6751235359602524e+06	1.2063462205782054e-08	8.9614102466246821e-09	3.5586880733074638e-01	1.2371531144270935e-01	5.5648515996479908e-01	8.0219861278918936e-01	-1.7747161489287794e-01
1296000.000000	4.8777805591931365e+03	-1.5632824800957434e+02	2.8885358914117883e+03	-3.2212837377011324e+06	-8.4766209109591935e+06	8.2744808243016740e+06	-1.7490836280188720e-09	2.4349030683528839e-08	3.5528263858193021e-01	-1.0377229487616170e-02	-4.6107478182008603e-02	9.7513566938822893e-01	-2.1651059985743826e-01
1382400.000000	-3.4104993389235642e+03	1.7173565963420099e+03	-3.8937643082965806e+03	9.9775111211677454e+06	7.2469336137215951e+06	-3.2505204738285774e+06	9.9999391345635085e-10	-2.1810413628478894e-10	3.5473755000849955e-01	1.7944453692100765e-02	8.4034161717939079e-02	9.7250902864685573e-01	-2.1643115636711086e-01
1468800.000000	4.1003218897647312e+03	-1.5411192358159144e+03	4.0087624760103163e+03	-6.4669083579968996e+06	-7.7760796186571103e+06	5.9182531953994157e+06	1.7556138078517416e-08	-6.9975643116929566e-09	3.5415756581437535e-01	1.9073727560827225e-01	8.5861157186614778e-01	4.6415974958610046e-01	-1.0469568861822981e-01
